Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
8,2090,Date Case Completed,dateCaseCompleted,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2092,Date Case Completed--CoC,dateCaseCompletedCoc,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2100,Date Case Last Changed,dateCaseLastChanged,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2110,Date Case Report Exported,dateCaseReportExported,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2111,Date Case Report Received,dateCaseReportReceived,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2112,Date Case Report Loaded,dateCaseReportLoaded,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
8,2113,Date Tumor Record Availbl,dateTumorRecordAvailbl,YYYYMMDD,Valid date,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2116,ICD-O-3 Conversion Flag,icdO3ConversionFlag,,"Blank, 0, 1, 3",Tumor,Edit Overrides/Conversion History/System Admin,,
5,2117,Schema ID Version Current,schemaIdVersionCurrent,,1.0-99.99,Tumor,Edit Overrides/Conversion History/System Admin,,
5,2118,Schema ID Version Original,schemaIdVersionOriginal,,1.0-99.99,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2120,SEER Coding Sys--Current,seerCodingSysCurrent,,Alphanumeric,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2130,SEER Coding Sys--Original,seerCodingSysOriginal,,Alphanumeric,Tumor,Edit Overrides/Conversion History/System Admin,,
2,2140,CoC Coding Sys--Current,cocCodingSysCurrent,"Right justified, zero filled","00-09, 99",Tumor,Edit Overrides/Conversion History/System Admin,,
2,2150,CoC Coding Sys--Original,cocCodingSysOriginal,"Right justified, zero filled","00-09, 99",Tumor,Edit Overrides/Conversion History/System Admin,,
1,2152,CoC Accredited Flag,cocAccreditedFlag,,"0, 1, 2, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,2155,RQRS NCDB Submission Flag,rqrsNcdbSubmissionFlag,,"1, 2",Tumor,Edit Overrides/Conversion History/System Admin,,
8,2156,AJCC API Version Current,ajccApiVersionCurrent,Characters may be alphanumeric and include decimal points.,"Values of the form XX.YY.ZZ, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
8,2157,AJCC API Version Original,ajccApiVersionOriginal,Characters may be alphanumeric and include decimal points.,"Values of the form XX.YY.ZZ, Blank",Tumor,Edit Overrides/Conversion History/System Admin,,
13,2158,AJCC Cancer Surveillance API Version Current,ajccCancerSurvApiVersionCurrent,"N[N].N[N].N[N].N[NNN] Four groups of one or more digits separated by periods. The first group identifies the underlying AJCC edition number. The second a major revision. The third a minor revision. The last group identifies the build. The value 08.01.05.0025 would represent the 8th edition, 1st major revision, 5th minor revision, and the 25th build of the API.","Numbers, decimal points",Tumor,Edit Overrides/Conversion History/System Admin,,
13,2159,AJCC Cancer Surveillance API Version Original,ajccCancerSurvApiVersionOriginal,"N[N].N[N].N[N].N[NNN] Four groups of one or more digits separated by periods. The first group identifies the underlying AJCC edition number. The second a major revision. The third a minor revision. The last group identifies the build. The value 08.01.05.0025 would represent the 8th edition, 1st major revision, 5th minor revision, and the 25th build of the API.","Numbers, decimal points",Tumor,Edit Overrides/Conversion History/System Admin,,
10,2170,Vendor Name,vendorName,,,Tumor,Edit Overrides/Conversion History/System Admin,,
1,2180,SEER Type of Follow-Up,seerTypeOfFollowUp,,4-Jan,Tumor,Edit Overrides/Conversion History/System Admin,,
2,2190,SEER Record Number,seerRecordNumber,"Right justified, zero filled",Jan-99,Tumor,Edit Overrides/Conversion History/System Admin,,
2,2200,Diagnostic Proc 73-87,diagnosticProc7387,,,Tumor,Edit Overrides/Conversion History/System Admin,,
40,2230,Name--Last,nameLast,"Mixed case, left justified. Truncate name if more than 40 characters long.","Spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",Patient,Patient-Confidential,,
40,2232,Name--Birth Surname,nameBirthSurname,"Mixed case; Left-justified, and blank-filled.","Embedded spaces, hyphens, apostrophes. No other special characters are allowed.",Patient,Patient-Confidential,,
40,2240,Name--First,nameFirst,"Mixed case, left justified. Truncate name if more than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",Patient,Patient-Confidential,,
40,2250,Name--Middle,nameMiddle,"Mixed case, left justified. Truncate name if more than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",Patient,Patient-Confidential,,
3,2260,Name--Prefix,namePrefix,,,Patient,Patient-Confidential,,
3,2270,Name--Suffix,nameSuffix,,,Patient,Patient-Confidential,,
40,2280,Name--Alias,nameAlias,Truncate name if more than 40 characters long; this field may be updated if the name changes.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation.",Patient,Patient-Confidential,,
60,2290,Name--Spouse/Parent,nameSpouseParent,,,Tumor,Patient-Confidential,,
15,2300,Medical Record Number,medicalRecordNumber,"Right justified, space filled",Alphanumeric,Tumor,Patient-Confidential,,
2,2310,Military Record No Suffix,militaryRecordNoSuffix,"Right justified, zero filled","01-20, 30-69, 98, 99, blank",Tumor,Patient-Confidential,,
11,2315,Medicare Beneficiary Identifier,medicareBeneficiaryIdentifier,,"Alphanumeric, Blank",Patient,Patient-Confidential,,
9,2320,Social Security Number,socialSecurityNumber,"9 digits, no dashes","001010001-899999999, 999999999. Invalid values in this range exist.",Patient,Patient-Confidential,,
60,2330,Addr at DX--No & Street,addrAtDxNoStreet,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or UNKNOWN,Tumor,Patient-Confidential,,
60,2335,Addr at DX--Supplementl,addrAtDxSupplementl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or blank,Tumor,Patient-Confidential,,
60,2350,Addr Current--No & Street,addrCurrentNoStreet,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or UNKNOWN,Patient,Patient-Confidential,,
10,2352,Latitude,latitude,Right justified,"Numbers, decimal point, negative sign",Tumor,Patient-Confidential,,
11,2354,Longitude,longitude,Right justified,"Numbers, decimal point, negative sign",Tumor,Patient-Confidential,,
60,2355,Addr Current--Supplementl,addrCurrentSupplementl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,Patient,Patient-Confidential,,
10,2360,Telephone,telephone,10-digit number,Any 10-digit number,Patient,Patient-Confidential,,
12,2380,DC State File Number,dcStateFileNumber,,Any characters or blank,Patient,Patient-Confidential,,
40,2390,Name--Maiden,nameMaiden,Truncate name if more than 40 characters long.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation",Patient,Patient-Confidential,,
60,2392,Follow-Up Contact--No&St,followUpContactNost,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,Tumor,Patient-Confidential,,
60,2393,Follow-Up Contact--Suppl,followUpContactSuppl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,Tumor,Patient-Confidential,,
60,2394,Follow-Up Contact--Name,followUpContactName,,,Tumor,Patient-Confidential,,
10,2410,Institution Referred From,institutionReferredFrom,Right justified and zero filled,10-digit number,Tumor,Hospital-Confidential,,
10,2415,NPI--Inst Referred From,npiInstReferredFrom,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Hospital-Confidential,,
10,2420,Institution Referred To,institutionReferredTo,Right justified and zero filled,10-digit number,Tumor,Hospital-Confidential,,
10,2425,NPI--Inst Referred To,npiInstReferredTo,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Hospital-Confidential,,
10,2440,Following Registry,followingRegistry,Right justified and zero filled,10-digit number,Tumor,Hospital-Confidential,,
10,2445,NPI--Following Registry,npiFollowingRegistry,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Hospital-Confidential,,
8,2460,Physician--Managing,physicianManaging,Left justified,,Tumor,Other-Confidential,,
10,2465,NPI--Physician--Managing,npiPhysicianManaging,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Other-Confidential,,
8,2470,Physician--Follow-Up,physicianFollowUp,Left justified,,Tumor,Other-Confidential,,
10,2475,NPI--Physician--Follow-Up,npiPhysicianFollowUp,,"10-digit NPI codes (9-digit NPI integer plus 1 check digit), blank",Tumor,Other-Confidential,,
8,2480,Physician--Primary Surg,physicianPrimarySurg,Left justified,,Tumor,Other-Confidential,,
10,2485,NPI--Physician--Primary Surg,npiPhysicianPrimarySurg,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Other-Confidential,,
8,2490,Physician 3,physician3,Left justified,,Tumor,Other-Confidential,,
10,2495,NPI--Physician 3,npiPhysician3,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Other-Confidential,,
8,2500,Physician 4,physician4,Left justified,,Tumor,Other-Confidential,,
10,2505,NPI--Physician 4,npiPhysician4,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Other-Confidential,,
1000,2508,EHR Reporting,ehrReporting,,Free text,Tumor,Other-Confidential,,
1000,2520,Text--DX Proc--PE,textDxProcPe,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2530,Text--DX Proc--X-ray/Scan,textDxProcXRayScan,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2540,Text--DX Proc--Scopes,textDxProcScopes,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2550,Text--DX Proc--Lab Tests,textDxProcLabTests,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2560,Text--DX Proc--Op,textDxProcOp,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2570,Text--DX Proc--Path,textDxProcPath,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
100,2580,Text--Primary Site Title,textPrimarySiteTitle,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
100,2590,Text--Histology Title,textHistologyTitle,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2600,Text--Staging,textStaging,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Diagnosis,,
1000,2610,RX Text--Surgery,rxTextSurgery,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2620,RX Text--Radiation (Beam),rxTextRadiation,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2630,RX Text--Radiation Other,rxTextRadiationOther,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2640,RX Text--Chemo,rxTextChemo,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2650,RX Text--Hormone,rxTextHormone,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2660,RX Text--BRM,rxTextBrm,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2670,RX Text--Other,rxTextOther,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Treatment,,
1000,2680,Text--Remarks,textRemarks,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Miscellaneous,,
60,2690,Text--Place of Diagnosis,textPlaceOfDiagnosis,Free text,Neither carriage return nor line feed characters allowed,Tumor,Text-Miscellaneous,,
3,2800,CS Tumor Size,csTumorSize,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2810,CS Extension,csExtension,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
1,2820,CS Tumor Size/Ext Eval,csTumorSizeExtEval,,0-9 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2830,CS Lymph Nodes,csLymphNodes,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
1,2840,CS Lymph Nodes Eval,csLymphNodesEval,,0-9 (site-specific),Tumor,Stage/Prognostic Factors,,
2,2850,CS Mets at DX,csMetsAtDx,"Right justified, zero filled",00-99 (site-specific),Tumor,Stage/Prognostic Factors,,
1,2851,CS Mets at Dx-Bone,csMetsAtDxBone,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,2852,CS Mets at Dx-Brain,csMetsAtDxBrain,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,2853,CS Mets at Dx-Liver,csMetsAtDxLiver,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,2854,CS Mets at Dx-Lung,csMetsAtDxLung,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,2860,CS Mets Eval,csMetsEval,,0-9 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2861,CS Site-Specific Factor 7,csSiteSpecificFactor7,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2862,CS Site-Specific Factor 8,csSiteSpecificFactor8,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2863,CS Site-Specific Factor 9,csSiteSpecificFactor9,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2864,CS Site-Specific Factor10,csSiteSpecificFactor10,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2865,CS Site-Specific Factor11,csSiteSpecificFactor11,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2866,CS Site-Specific Factor12,csSiteSpecificFactor12,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2867,CS Site-Specific Factor13,csSiteSpecificFactor13,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2868,CS Site-Specific Factor14,csSiteSpecificFactor14,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2869,CS Site-Specific Factor15,csSiteSpecificFactor15,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2870,CS Site-Specific Factor16,csSiteSpecificFactor16,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2871,CS Site-Specific Factor17,csSiteSpecificFactor17,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2872,CS Site-Specific Factor18,csSiteSpecificFactor18,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2873,CS Site-Specific Factor19,csSiteSpecificFactor19,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2874,CS Site-Specific Factor20,csSiteSpecificFactor20,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2875,CS Site-Specific Factor21,csSiteSpecificFactor21,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2876,CS Site-Specific Factor22,csSiteSpecificFactor22,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2877,CS Site-Specific Factor23,csSiteSpecificFactor23,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2878,CS Site-Specific Factor24,csSiteSpecificFactor24,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2879,CS Site-Specific Factor25,csSiteSpecificFactor25,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2880,CS Site-Specific Factor 1,csSiteSpecificFactor1,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2890,CS Site-Specific Factor 2,csSiteSpecificFactor2,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2900,CS Site-Specific Factor 3,csSiteSpecificFactor3,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2910,CS Site-Specific Factor 4,csSiteSpecificFactor4,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2920,CS Site-Specific Factor 5,csSiteSpecificFactor5,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
3,2930,CS Site-Specific Factor 6,csSiteSpecificFactor6,"Right justified, zero filled",000-999 (site-specific),Tumor,Stage/Prognostic Factors,,
6,2935,CS Version Input Original,csVersionInputOriginal,6-digit number,Valid 6-digit CS version number,Tumor,Stage/Prognostic Factors,,
6,2936,CS Version Derived,csVersionDerived,6-digit number,Valid 6-digit CS version number,Tumor,Stage/Prognostic Factors,,
6,2937,CS Version Input Current,csVersionInputCurrent,6-digit number,Valid 6-digit CS version number,Tumor,Stage/Prognostic Factors,,
2,2940,Derived AJCC-6 T,derivedAjcc6T,,"Site-specific (derived from Collaborative Stage fields), blank",Tumor,Stage/Prognostic Factors,,
1,2950,Derived AJCC-6 T Descript,derivedAjcc6TDescript,,"c, p, a, y, N, and blank (derived from Collaborative Stage fields)",Tumor,Stage/Prognostic Factors,,
2,2960,Derived AJCC-6 N,derivedAjcc6N,,"Site-specific (derived from Collaborative Stage fields), blank",Tumor,Stage/Prognostic Factors,,
1,2970,Derived AJCC-6 N Descript,derivedAjcc6NDescript,,"c, p, a, y, N, and blank (derived from Collaborative Stage fields)",Tumor,Stage/Prognostic Factors,,
2,2980,Derived AJCC-6 M,derivedAjcc6M,,"Site-specific (derived from Collaborative Stage fields), blank",Tumor,Stage/Prognostic Factors,,
1,2990,Derived AJCC-6 M Descript,derivedAjcc6MDescript,,"c, p, a, y, N, and blank (derived from Collaborative Stage fields)",Tumor,Stage/Prognostic Factors,,
2,3000,Derived AJCC-6 Stage Grp,derivedAjcc6StageGrp,,Site-specific (derived from Collaborative Stage fields),Tumor,Stage/Prognostic Factors,,
1,3010,Derived SS1977,derivedSs1977,,"0-5, 7, 8, 9 (derived from Collaborative Stage fields)",Tumor,Stage/Prognostic Factors,,
1,3020,Derived SS2000,derivedSs2000,,"0-5, 7, 8, 9 (derived from Collaborative Stage fields)",Tumor,Stage/Prognostic Factors,,
1,3030,Derived AJCC--Flag,derivedAjccFlag,,"1, 2, blank",Tumor,Stage/Prognostic Factors,,
1,3040,Derived SS1977--Flag,derivedSs1977Flag,,"1, 2, blank",Tumor,Stage/Prognostic Factors,,
1,3050,Derived SS2000--Flag,derivedSs2000Flag,,"1, 2, blank",Tumor,Stage/Prognostic Factors,,
10,3100,Archive FIN,archiveFin,"Right justified, zero filled",10-digit number,Tumor,Hospital-Specific,,
10,3105,NPI--Archive FIN,npiArchiveFin,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Hospital-Specific,,
5,3110,Comorbid/Complication 1,comorbidComplication1,"Left justified, zero filled","00000, 00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049",Tumor,Stage/Prognostic Factors,,
5,3120,Comorbid/Complication 2,comorbidComplication2,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3130,Comorbid/Complication 3,comorbidComplication3,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3140,Comorbid/Complication 4,comorbidComplication4,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3150,Comorbid/Complication 5,comorbidComplication5,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3160,Comorbid/Complication 6,comorbidComplication6,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3161,Comorbid/Complication 7,comorbidComplication7,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3162,Comorbid/Complication 8,comorbidComplication8,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3163,Comorbid/Complication 9,comorbidComplication9,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
5,3164,Comorbid/Complication 10,comorbidComplication10,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",Tumor,Stage/Prognostic Factors,,
1,3165,ICD Revision Comorbid,icdRevisionComorbid,,"0, 1, 9, blank",Tumor,Stage/Prognostic Factors,,
8,3170,RX Date Mst Defn Srg,rxDateMostDefinSurg,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,3171,RX Date Mst Defn Srg Flag,rxDateMostDefinSurgFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,3180,RX Date Surg Disch,rxDateSurgicalDisch,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,3181,RX Date Surg Disch Flag,rxDateSurgicalDischFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
1,3190,Readm Same Hosp 30 Days,readmSameHosp30Days,,"0-3, 9",Tumor,Treatment-1st Course,,
2,3200,Rad--Boost RX Modality,radBoostRxModality,"Right justified, zero filled","00, 20-32, 40-43, 50-55, 60-62, 98, 99",Tumor,Treatment-1st Course,,
5,3210,Rad--Boost Dose cGy,radBoostDoseCgy,"Right justified, zero filled",00000-99999,Tumor,Treatment-1st Course,,
8,3220,RX Date Rad Ended,rxDateRadiationEnded,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,3221,RX Date Rad Ended Flag,rxDateRadiationEndedFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
8,3230,RX Date Systemic,rxDateSystemic,YYYYMMDD,Valid dates,Tumor,Treatment-1st Course,,
2,3231,RX Date Systemic Flag,rxDateSystemicFlag,,"10-20, blank",Tumor,Treatment-1st Course,,
2,3250,RX Summ--Transplnt/Endocr,rxSummTransplntEndocr,"Right justified, zero filled","00, 10-12, 20, 30, 40, 82, 85-88, 99",Tumor,Treatment-1st Course,,
1,3270,RX Summ--Palliative Proc,rxSummPalliativeProc,,"0-7, 9",Tumor,Treatment-1st Course,,
1,3280,RX Hosp--Palliative Proc,rxHospPalliativeProc,,"0-7, 9",Tumor,Hospital-Specific,,
2,3300,RuralUrban Continuum 1993,ruralurbanContinuum1993,"Right justified, zero filled","00-09, 98, 99, blank",Tumor,Demographic,,
2,3310,RuralUrban Continuum 2003,ruralurbanContinuum2003,"Right justified, zero filled","01-09, 98, 99, blank",Tumor,Demographic,,
2,3312,RuralUrban Continuum 2013,ruralurbanContinuum2013,"Right justified, zero-filled","01-09, 98, 99, blank",Tumor,Demographic,,
3,3400,Derived AJCC-7 T,derivedAjcc7T,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3402,Derived AJCC-7 T Descript,derivedAjcc7TDescript,,"c, p, a, y, N, blank",Tumor,Stage/Prognostic Factors,,
3,3410,Derived AJCC-7 N,derivedAjcc7N,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3412,Derived AJCC-7 N Descript,derivedAjcc7NDescript,,"c, p, a, y, N, blank",Tumor,Stage/Prognostic Factors,,
3,3420,Derived AJCC-7 M,derivedAjcc7M,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3422,Derived AJCC-7 M Descript,derivedAjcc7MDescript,,"c, p, a, y, N, blank",Tumor,Stage/Prognostic Factors,,
3,3430,Derived AJCC-7 Stage Grp,derivedAjcc7StageGrp,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
3,3440,Derived PreRx-7 T,derivedPrerx7T,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3442,Derived PreRx-7 T Descrip,derivedPrerx7TDescrip,,"c, N, blank",Tumor,Stage/Prognostic Factors,,
3,3450,Derived PreRx-7 N,derivedPrerx7N,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3452,Derived PreRx-7 N Descrip,derivedPrerx7NDescrip,,"c, N, blank",Tumor,Stage/Prognostic Factors,,
3,3460,Derived PreRx-7 M,derivedPrerx7M,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3462,Derived PreRx-7 M Descrip,derivedPrerx7MDescrip,,"c, N, blank",Tumor,Stage/Prognostic Factors,,
3,3470,Derived PreRx-7 Stage Grp,derivedPrerx7StageGrp,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
3,3480,Derived PostRx-7 T,derivedPostrx7T,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
3,3482,Derived PostRx-7 N,derivedPostrx7N,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
2,3490,Derived PostRx-7 M,derivedPostrx7M,"Right justified, zero filled",00-99,Tumor,Stage/Prognostic Factors,,
3,3492,Derived PostRx-7 Stge Grp,derivedPostrx7StgeGrp,"Right justified, zero filled",000-999,Tumor,Stage/Prognostic Factors,,
1,3600,Derived Neoadjuv Rx Flag,derivedNeoadjuvRxFlag,,"0,1,9",Tumor,Stage/Prognostic Factors,,
5,3605,Derived SEER Path Stg Grp,derivedSeerPathStgGrp,"Upper-case alphanumeric, left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
5,3610,Derived SEER Clin Stg Grp,derivedSeerClinStgGrp,"Upper-case alphanumeric, left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
5,3614,Derived SEER Cmb Stg Grp,derivedSeerCmbStgGrp,"Upper-case alphanumeric, Left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
